index	u_check
0	1.6722992613612389
1	-1.1520953475076308
2	-1.2351825827057439
3	-0.28850350316775275
4	0.36920157289926436
5	0.4305984865780447
6	0.1886436089056594
7	-0.024803169499071825
8	-0.08902455795003886
9	-0.052383641576975226
10	-0.0007812574431825675
11	0.02155048973358411
12	0.016620045538680298
13	0.0037058434807925077
14	-0.003907035561686065
15	-0.004320374934108459
16	-0.001560554185528469
17	0.0006237459494981387
18	0.0011022074214585159
19	0.0005625648332771808
20	-3.136392840477349e-05
21	-0.0002504604179947345
22	-0.0001709926280874519
23	-2.3761285331546996e-05
24	5.217393911646603e-05
25	4.815984059619936e-05
26	1.4301033358402043e-05
27	-9.017917794329274e-06
28	-1.243770513402077e-05
29	-5.4850892280275604e-06
30	1.0199673464235642e-06
31	2.9818590679718653e-06
32	1.7817385636834387e-06
33	1.0044169668012932e-07
34	-6.498690774505629e-07
35	-5.191190164200907e-07
36	-1.1800736165218386e-07
37	1.2412428351772798e-07
38	1.3935790882875266e-07
39	5.216383114678568e-08
40	-1.822483953679775e-08
41	-3.461332856034235e-08
42	-1.807477010520673e-08
43	7.604670772835721e-10
44	7.905657964702622e-09
45	5.511369629640187e-09
46	8.448446168152666e-10
47	-1.617726147868839e-09
48	-1.5342898417608392e-09
49	-4.72114028857187e-10
50	2.7595339269633156e-10
51	3.9502554555578476e-10
52	1.786785491601205e-10
53	-2.8988586277639237e-11
54	-9.395415897525396e-11
55	-5.738883809471686e-11
56	-4.067963119768126e-12
57	2.0327448510842748e-11
58	1.6618453414915616e-11
59	3.973796758942251e-12
60	-3.828014934287623e-12
61	-4.433119235082083e-12
62	-1.7080290764320855e-12
63	5.441108510348343e-13
64	1.0947050731094794e-12
65	5.84810118802277e-13
66	-1.4334687616799963e-14
67	-2.482139869870956e-13
68	-1.7691160268447388e-13
69	-2.9372109380257346e-14
70	5.027108462437628e-14
71	4.89465091168404e-14
72	1.560516901861087e-14
73	-8.402702707124509e-15
74	-1.2527915837641165e-14
75	-5.808380194033099e-15
76	8.150398247752101e-16
77	2.960504868854491e-15
78	1.848323859337869e-15
79	1.5763232917925682e-16
80	-6.350895329020873e-16
81	-5.316181701284982e-16
82	-1.3328773819226112e-16
83	1.1791663745125862e-16
84	1.4097794248153504e-16
85	5.58689931192379e-17
86	-1.616077814796312e-17
87	-3.4602277306934454e-17
88	-1.8906901684521842e-17
89	1.4259527446502407e-19
90	7.788549643246478e-18
91	5.67604377668466e-18
92	1.0135629411501735e-18
93	-1.560492430721012e-18
94	-1.560748622471255e-18
95	-5.14867683426046e-19
96	2.552224041729268e-19
97	3.9713370636815536e-19
98	1.8865328245171629e-19
99	-2.2502974947259465e-20
